Time,GSR
524430,757
524440,758
524450,757
524460,758
524470,757
524480,758
524490,757
524500,759
524510,757
524520,758
524530,757
524540,759
524550,757
524560,758
524570,757
524580,759
524590,757
524600,758
524610,757
524620,759
524631,757
524641,759
524651,756
524661,759
524672,756
524681,759
524691,756
524701,760
524711,756
524721,759
524731,757
524741,759
524751,756
524761,759
524771,757
524781,759
524791,756
524801,759
524811,756
524821,759
524840,759
524844,760
524852,756
524862,760
524872,755
524882,760
524892,756
524902,760
524912,755
524922,760
524932,756
524942,760
524952,755
524962,760
524972,756
524982,760
524992,755
525002,760
525012,755
525022,760
525032,755
525042,760
525052,755
525062,760
525072,755
525082,760
525092,755
525102,760
525112,755
525122,760
525132,755
525143,760
525153,754
525163,760
525173,754
525184,760
525193,754
525203,760
525213,754
525223,760
525233,754
525243,760
525253,754
525263,760
525273,754
525283,760
525293,754
525303,760
525313,754
525323,760
525333,754
525343,760
525353,754
525363,760
525373,754
525383,760
525403,759
525406,760
525415,755
525425,759
525435,755
525445,759
525455,755
525465,759
525475,755
525485,759
525495,755
525505,759
525515,755
525526,759
525535,755
525545,759
525555,755
525565,759
525575,755
525585,759
525595,755
525605,759
525615,755
525625,759
525635,755
525645,759
525655,755
525665,759
525675,755
525685,759
525696,755
525705,759
525715,755
525725,759
525735,755
525745,759
525755,755
525765,759
525775,755
525785,759
525795,755
525805,759
525815,755
525825,759
525835,755
525845,759
525855,756
525865,759
525875,755
525885,759
525895,756
525905,759
525915,755
525925,759
525935,756
525945,759
525964,758
525967,757
525976,757
525986,758
525996,756
526006,758
526016,757
526026,758
526036,758
526046,758
526056,757
526066,757
526076,758
526086,758
526096,757
526106,757
526116,758
526126,758
526136,757
526146,758
526156,758
526167,757
526177,758
526187,757
526197,759
526208,757
526217,758
526227,757
526237,759
526247,757
526257,758
526267,757
526277,759
526287,757
526297,758
526307,757
526317,759
526327,756
526337,758
526347,757
526357,759
526367,756
526377,759
526387,757
526397,759
526407,756
526417,759
526427,757
526437,759
526447,756
526457,759
526467,757
526477,759
526487,757
526497,759
526508,756
526518,760
526537,759
526539,760
526550,755
526559,760
526569,754
526579,760
526589,755
526599,760
526609,754
526619,760
526629,755
526639,760
526649,755
526659,760
526669,755
526679,760
526689,755
526699,760
526709,755
526720,760
526729,755
526739,760
526749,755
526759,760
526769,755
526779,760
526789,755
526799,760
526809,755
526819,760
526829,755
526839,760
526849,755
526859,760
526869,755
526879,760
526889,754
526899,760
526909,755
526919,760
526929,754
526939,760
526949,755
526959,760
526969,754
526979,760
526989,755
526999,760
527009,755
527020,760
527030,754
527040,760
527050,754
527060,760
527070,755
527080,760
527090,754
527110,754
527113,755
527122,759
527132,755
527142,759
527152,755
527162,759
527172,755
527182,759
527192,755
527202,759
527212,755
527222,759
527233,755
527243,759
527253,756
527263,758
527273,757
527283,759
527293,756
527303,758
527313,757
527323,759
527333,756
527343,758
527353,757
527363,759
527373,756
527383,758
527393,757
527404,758
527414,758
527424,757
527434,758
527444,757
527454,758
527464,757
527474,758
527484,757
527494,758
527504,757
527514,758
527524,757
527534,758
527544,757
527554,758
527564,758
527575,759
527585,757
527595,759
527605,757
527616,760
527625,757
527635,759
527645,757
527655,760
527674,758
527677,760
527686,756
527696,760
527706,756
527716,760
527726,756
527736,760
527746,756
527756,760
527766,756
527776,760
527787,755
527796,760
527806,756
527816,760
527826,755
527836,760
527846,756
527856,760
527866,755
527876,760
527886,756
527896,760
527906,755
527916,760
527926,756
527936,760
527946,755
527956,760
527966,756
527976,760
527986,755
527996,760
528006,756
528016,760
528026,755
528036,760
528046,756
528056,760
528066,755
528076,760
528087,755
528097,760
528107,755
528117,760
528128,754
528137,760
528147,755
528157,760
528167,754
528177,760
528187,755
528197,760
528207,754
528217,760
528227,755
528246,753
528249,755
528258,760
528268,755
528278,760
528288,755
528299,760
528308,754
528318,759
528328,754
528338,759
528348,754
528358,759
528368,755
528378,760
528388,754
528398,759
528408,755
528418,760
528428,754
528438,760
528448,755
528458,760
528468,755
528478,760
528488,755
528498,760
528508,755
528518,760
528528,755
528538,760
528548,755
528558,760
528568,755
528578,760
528588,755
528599,759
528609,755
528619,759
528629,755
528640,759
528649,755
528659,759
528669,755
528679,759
528689,755
528699,759
528709,755
528719,759
528729,755
528739,759
528749,755
528759,759
528769,755
528779,759
528789,755
528799,759
528809,755
528828,754
528831,758
528840,759
528850,757
528860,759
528870,756
528880,758
528890,757
528900,759
528910,756
528920,758
528930,757
528940,759
528950,756
528960,758
528970,757
528980,758
528990,756
529000,758
529010,757
529020,758
529030,756
529040,758
529050,757
529060,758
529070,756
529080,758
529090,757
529100,758
529111,758
529121,758
529131,758
529141,757
529152,759
529161,757
529171,758
529181,757
529191,759
529201,758
529211,758
529221,757
529231,759
529241,758
529251,758
529261,757
529271,759
529281,758
529291,758
529301,758
529311,759
529321,757
529331,758
529341,757
529351,759
529361,757
529371,759
529381,757
529400,757
529402,756
529412,759
529422,757
529432,760
529442,756
529452,759
529462,756
529472,759
529482,756
529492,760
529502,756
529512,759
529522,756
529532,760
529542,756
529552,759
529562,756
529572,760
529582,756
529592,760
529602,756
529612,760
529623,756
529633,760
529643,755
529653,760
529664,755
529673,760
529683,755
529693,760
529703,755
529713,760
529723,755
529733,760
529743,754
529753,760
529763,755
529773,760
529783,754
529793,760
529803,755
529813,760
529823,754
529833,760
529843,755
529853,760
529863,755
529873,760
529883,755
529893,761
529903,754
529913,760
529923,755
529933,760
529943,755
529963,754
529965,755
529975,760
529985,754
529995,760
530006,755
530015,760
530025,754
530035,760
530045,755
530055,760
530065,754
530075,760
530085,755
530095,760
530105,754
530115,759
530125,755
530135,760
530145,754
530155,760
530165,755
530176,759
530185,754
530195,760
530205,755
530215,759
530225,755
530235,760
530245,755
530255,760
530265,755
530275,759
530285,755
530295,759
530305,755
530315,759
530325,755
530335,759
530345,755
530355,759
530365,755
530375,760
530385,755
530395,759
530405,755
530415,760
530425,755
530435,760
530445,755
530455,759
530465,755
530476,759
530486,755
530496,759
530506,756
530516,759
530526,755
530536,759
530546,756
530566,755
530569,759
530578,758
530588,758
530598,757
530608,758
530618,758
530628,758
530638,757
530648,758
530658,758
530668,758
530678,757
530689,759
530699,757
530709,759
530719,756
530729,759
530739,757
530749,759
530759,756
530769,760
530779,757
530789,759
530799,756
530809,760
530819,757
530829,759
530839,756
530849,760
530860,756
530870,760
530880,756
530890,760
530900,755
530910,760
530920,755
530930,760
530940,755
530950,760
530960,756
530970,760
530980,755
530990,760
531000,756
531010,760
531020,755
531031,760
531041,755
531051,760
531061,755
531072,760
531081,755
531091,760
531101,755
531111,760
531121,755
531131,760
531150,760
531153,760
531162,754
531172,760
531182,755
531192,760
531202,754
531212,760
531222,755
531232,760
531243,754
531252,760
531262,754
531272,760
531282,754
531292,760
531302,754
531312,760
531322,754
531332,760
531342,755
531352,760
531362,755
531372,760
531382,755
531392,760
531402,755
531412,760
